"No.","Time","Source","Destination","Protocol","Length","Info"
"3825","77.794097400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","333","Standard query response 0xfb08 AAAA crl3.digicert.com CNAME crl.edge.digicert.com CNAME cdp1.digicert.com.akamaized.net CNAME cdp1.digicert.com.splitter-eip.akadns.net CNAME cdp1.digicert.com.eip.akadns.net CNAME eip-terr-as.cdp1.digicert.com.akahost.net AAAA 2600:14e1:1c:6d::"
"3826","77.795332000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","321","Standard query response 0xba21 A crl3.digicert.com CNAME crl.edge.digicert.com CNAME cdp1.digicert.com.akamaized.net CNAME cdp1.digicert.com.splitter-eip.akadns.net CNAME cdp1.digicert.com.eip.akadns.net CNAME eip-terr-as.cdp1.digicert.com.akahost.net A 23.11.39.161"
"24135","110.334929700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x3ed3 A sadownload.mcafee.com"
"24136","110.335087200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x1496 AAAA sadownload.mcafee.com"
"24137","110.347519700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","278","Standard query response 0x1496 AAAA sadownload.mcafee.com CNAME sadownload-r53.awsconsumer.mcafee.com CNAME sadownload.mcafee.com.edgesuite.net CNAME a866.dscd.akamai.net AAAA 2600:140f:f400::1730:e212 AAAA 2600:140f:f400::1730:e218"
"24138","110.347519700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","254","Standard query response 0x3ed3 A sadownload.mcafee.com CNAME sadownload-r53.awsconsumer.mcafee.com CNAME sadownload.mcafee.com.edgesuite.net CNAME a866.dscd.akamai.net A 23.48.226.24 A 23.48.226.18"
"31258","137.062088100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x1cd0 A graph.microsoft.com"
"31259","137.062159800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x4d30 AAAA graph.microsoft.com"
"31260","137.074056000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","227","Standard query response 0x1cd0 A graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.akadns.net A 20.190.174.43 A 20.190.174.41 A 20.190.174.42"
"31261","137.074056000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","263","Standard query response 0x4d30 AAAA graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.akadns.net AAAA 2603:1046:2000:60::83 AAAA 2603:1046:2000:60::84 AAAA 2603:1046:2000:60::80"
"34877","170.794483400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0xca13 HTTPS edge.microsoft.com"
"34878","170.795277700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0x19a1 AAAA edge.microsoft.com"
"34879","170.795599800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0x0b66 A edge.microsoft.com"
"34882","170.806395300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","213","Standard query response 0xca13 HTTPS edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net SOA ns1.ax-msedge.net"
